geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_2w,timeframe_4w,sum2w,sum4w,mean2w,mean4w,sumTotal_last2w,sumTotal_last4w,inzmean2w,inzmean4w,inzsumTotal_last2w,inzsumTotal_last4w,inzsum2w,inzsum4w,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last_age,entries_diff_last
CH,202009,0,TRUE,0,NA,NA,8738791,0,0,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-09,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,1
CH,202010,3,TRUE,3,1,100,8738791,0.03,0.03,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-10,3,0.03,NA,NA,FALSE,FALSE,3,NA,1.5,NA,NA,NA,0.02,NA,NA,NA,0.03,NA,3,0,7,1
CH,202011,25,TRUE,28,1,100,8738791,0.29,0.32,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-11,22,0.26,733.3,0,FALSE,FALSE,28,NA,14,NA,NA,NA,0.16,NA,NA,NA,0.32,NA,25,0,7,1
CH,202012,99,TRUE,127,1,100,8738791,1.13,1.45,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-12,74,0.84,296,0,FALSE,FALSE,124,127,62,31.75,NA,NA,0.71,0.36,NA,NA,1.42,1.45,99,0,7,1
CH,202013,253,TRUE,380,1,100,8738791,2.9,4.35,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-13,154,1.77,155.6,0,FALSE,FALSE,352,380,176,95,NA,NA,2.01,1.09,NA,NA,4.03,4.35,253,0,7,1
CH,202014,385,TRUE,765,1,100,8738791,4.41,8.75,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-14,132,1.51,52.2,0,FALSE,FALSE,638,762,319,190.5,NA,NA,3.65,2.18,NA,NA,7.3,8.72,385,0,7,1
CH,202015,343,TRUE,1108,1,100,8738791,3.93,12.68,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-15,-42,-0.48,-10.9,0,FALSE,FALSE,728,1080,364,270,NA,NA,4.17,3.09,NA,NA,8.33,12.36,343,0,7,1
CH,202016,242,TRUE,1350,1,100,8738791,2.77,15.45,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-16,-101,-1.16,-29.4,0,FALSE,FALSE,585,1223,292.5,305.75,NA,NA,3.35,3.5,NA,NA,6.69,14,242,0,7,1
CH,202017,194,TRUE,1544,1,100,8738791,2.22,17.67,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-17,-48,-0.55,-19.8,0,FALSE,FALSE,436,1164,218,291,NA,NA,2.49,3.33,NA,NA,4.99,13.32,194,0,7,1
CH,202018,90,TRUE,1634,1,100,8738791,1.03,18.7,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-18,-104,-1.19,-53.6,0,FALSE,FALSE,284,869,142,217.25,NA,NA,1.62,2.49,NA,NA,3.25,9.94,90,0,7,1
CH,202019,54,TRUE,1688,1,100,8738791,0.62,19.32,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-19,-36,-0.41,-40,0,FALSE,FALSE,144,580,72,145,NA,NA,0.82,1.66,NA,NA,1.65,6.64,54,0,7,1
CH,202020,18,TRUE,1706,1,100,8738791,0.21,19.52,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-20,-36,-0.41,-66.7,0,FALSE,FALSE,72,356,36,89,NA,NA,0.41,1.02,NA,NA,0.82,4.07,18,0,7,1
CH,202021,14,TRUE,1720,1,100,8738791,0.16,19.68,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-21,-4,-0.05,-22.2,0,FALSE,FALSE,32,176,16,44,NA,NA,0.18,0.5,NA,NA,0.37,2.01,14,0,7,1
CH,202022,4,TRUE,1724,1,100,8738791,0.05,19.73,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-22,-10,-0.11,-71.4,0,FALSE,FALSE,18,90,9,22.5,NA,NA,0.1,0.26,NA,NA,0.21,1.03,4,0,7,1
CH,202023,1,TRUE,1725,1,100,8738791,0.01,19.74,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-23,-3,-0.04,-75,0,FALSE,FALSE,5,37,2.5,9.25,NA,NA,0.03,0.11,NA,NA,0.06,0.42,1,0,7,1
CH,202024,4,TRUE,1729,1,100,8738791,0.05,19.79,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-24,3,0.04,300,0,FALSE,FALSE,5,23,2.5,5.75,NA,NA,0.03,0.07,NA,NA,0.06,0.26,4,0,7,1
CH,202025,2,TRUE,1731,1,100,8738791,0.02,19.81,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-25,-2,-0.03,-50,0,FALSE,FALSE,6,11,3,2.75,NA,NA,0.03,0.03,NA,NA,0.07,0.13,2,0,7,1
CH,202026,1,TRUE,1732,1,100,8738791,0.01,19.82,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-26,-1,-0.01,-50,0,FALSE,FALSE,3,8,1.5,2,NA,NA,0.02,0.02,NA,NA,0.03,0.09,1,0,7,1
CH,202027,2,TRUE,1734,1,100,8738791,0.02,19.84,COVID19Death,,2023-08-22_06-00-20,isoweek,2020-27,1,0.01,100,0,FALSE,FALSE,3,9,1.5,2.25,NA,NA,0.02,0.03,NA,NA,0.03,0.1,2,0,7,1
